Name,Label
Tandoori Wazeri Platter,MENU
Afghani Bbq,MENU
Crisp Salad,MENU
Creamy Sauce,MENU
Savoury Rice,MENU
Waziri Dinner,MENU
Ground Beef,MENU
Chicken Breast Skewers,MENU
Chicken Breast Kabab Dinner,MENU
Dinner Rice,MENU
Kabuli Rice,MENU
Chapli Kabab Dinner,MENU
Ranch Sauce,MENU
Platter,MENU
Grill,MENU
Sweet Custard,MENU
Chicken Skrewer,MENU
Chickens,MENU
Ceaser Salad,MENU
Grilled Fish,MENU
Waziri Chicken Tandoori kebab Dinner,MENU
Kofta Kabab,MENU
Grilled kebab,MENU
Tenderloin,MENU
Chaplis,MENU
Basmati,MENU
Cubed Chicken,MENU
Tandoori Wazeri,MENU
Tandoori Chicken Breasts,MENU
Ground Beef kebab Skewers,MENU
Steak,MENU
Kofta Combo,MENU
Pita,MENU
Spicy Tomato Chutney,MENU
Kebab Dishes,MENU
Bass Fish,MENU
Burger,MENU
Kofta Kebab,MENU
Beet Kebab,MENU
Tandoori Fish Dinner,MENU
Kofta kebab Dinner,MENU
Beef Tikka kebab,MENU
Chopan Lamb,MENU
Kofta Beef,MENU
Watan Mantoo,MENU
Dumpling,MENU
Half Chicken,MENU
Grilled Chicken Dinner,MENU
Chicken Tikka Kabab,MENU
Scheshwan Chicken,MENU
Hakka Fried Rice,MENU
Hakka Fried Noodles,MENU
Honey Garlic Chicken,MENU
Tiger Prawns,MENU
Tso Sauce,MENU
Garlic Chicken,MENU
Chicken Corn Soup,MENU
Brown Sauce,MENU
Chicken Piece,MENU
Monagadi Kodi Vepudu,MENU
Mutton Dum Biryani,MENU
Cashew Chicken,MENU
Onion Pokuras,MENU
Chicken Tika Masala,MENU
Sweet Corn Soup,MENU
Curry Leaf Chicken Fry,MENU
Panner Butter Masala,MENU
Karaikudi Chicken Curry,MENU
Chicken Dum Biryani,MENU
Veg Fried Rice,MENU
Mango Kulfi,MENU
Butter Naan,MENU
Goat Dum Biryani,MENU
Keema Biryani,MENU
Chestnut Manchurian,MENU
Schezwan Fried Rice,MENU
Paneer Chettinad Gravy,MENU
Chicken Lollipops,MENU
Stuffed Eggplant,MENU
Nutella Dosa,MENU
Upma,MENU
Cabbage Curry,MENU
Manchurian Gobi,MENU
Butter Paneer,MENU
Veg Dum Biryani,MENU
Paneer Pulao,MENU
Aloo Bonda,MENU
Fried Baby Corn,MENU
Uttapam,MENU
Paneer Dosa,MENU
Curry Leaf Paneer,MENU
Paneer Karaikudi,MENU
Ulva Charu Biryani,MENU
Corn Vepudu,MENU
Kadai Chicken,MENU
Parka,MENU
Veggie Spring Rolls,MENU
Double Ka Meeta,MENU
Apple Pie,MENU
Vermicelli Kheer,MENU
Idly,MENU
Pulao,MENU
Chicken Roast,MENU
Kesari,MENU
Gajar Halwa,MENU
Strawberry Shortcake,MENU
Chocolate Mousse,MENU
Ghee Roast,MENU
Madras Goat Curry,MENU
Madras Chicken Curry,MENU
Veg Curry,MENU
Chicken Fry Biryani,MENU
Pongal,MENU
Tamarind Chutney,MENU
Tindora Fry,MENU
Okra Fry,MENU
Medhu Vada,MENU
Curd Rice,MENU
Basundi,MENU
Sambhar,MENU
Ulava Charu Panner Biryani,MENU
Mutton Biryani,MENU
Monagadi Gobi,MENU
Veg Samosas,MENU
Vindaloo Chicken,MENU
Masala Shrimp,MENU
Cngura,MENU
Garlic & Butter Naan,MENU
Paneer Biryani,MENU
Chilli Gobi,MENU
Lamb Khorma,MENU
Medu Wada,MENU
Rajugari Kodi Pulao,MENU
Mango Lassie,MENU
Mutton Koththu,MENU
Madras,MENU
Coconut Rice,MENU
Lentil Vadai,MENU
Potato Marsala,MENU
Cheese Dosa,MENU
Supreme Dosa,MENU
Chilli Dosa,MENU
Ginger Tea,MENU
Kerala Chicken,MENU
Chilli Chicken Dosa,MENU
Chicken Chettinad Qourma,MENU
Malabar Paratha,MENU
Pondicherry Meen Fried Fish,MENU
Lamb Chettinad Kurma,MENU
Boneless Chicken,MENU
Hosur 65,MENU
Fried Boneless Fish,MENU
Supreme Ambur Chicken Biryani,MENU
Kothu Mutton,MENU
Mutton Dosa,MENU
Dhaal,MENU
Chickpea,MENU
Dhabha,MENU
Paneer Special,MENU
Kidney Beans,MENU
Vegetarian Biryani,MENU
Aloo Jalfrezi,MENU
Coconut Fish,MENU
Salmon,MENU
Wada Pao,MENU
Lentil Curry,MENU
Lentil Dishes,MENU
Shirmp Curry,MENU
Paneer Tika Masala,MENU
Zafrani Rice,MENU
Whole Wheat Puri,MENU
Palaak Paneer,MENU
Papadum,MENU
Tika Masala,MENU
Samasoas,MENU
Chicken Tika,MENU
Onion Rings,MENU
Makhani Daal,MENU
Matar Mushroom,MENU
Mushroom,MENU
Indian Tamarind Sauce,MENU
Chicken Saag,MENU
Karahi Chicken,MENU
Indian Beer,MENU
Mango And Strawberry Lassi,MENU
Garlic,MENU
Marsala Ck,MENU
Armaan,MENU
Chicken Kourma,MENU
Assorted Tandoori,MENU
Masala,MENU
Mushroom Matar,MENU
Goat Roganjosh,MENU
Lobster Masala,MENU
Lobster,MENU
Green Chutney,MENU
Achaar,MENU
Gulab Jamun,MENU
Badami Kheer,MENU
Roasted Eggplant Puree,MENU
Tiki Masala,MENU
Tamarind Sauce,MENU
Cilantro Sauce,MENU
Papadi Chaat,MENU
Onion Pakora,MENU
Matar Mushroom Baigan Bharta,MENU
Chaat,MENU
Tadaka Daal,MENU
Baigan Bharta,MENU
Roasted Eggplant,MENU
Seasoned Coconut Sauce,MENU
Chicken Tiki Masala,MENU
Veggie Pakora,MENU
Channa Masala,MENU
Papad,MENU
Biryanis,MENU
Indian Bread,MENU
Thali,MENU
Chicken Biryani Thali,MENU
Paneer Dish,MENU
Bagaire Baigan,MENU
Gulab Jamoons,MENU
Andhra Chicken,MENU
Egg Curry,MENU
Egg Plant Curry,MENU
Zucchini Curry,MENU
Vegetable Biryani,MENU
Mango Custard,MENU
Fried Sweet Bread,MENU
Sooji Ka Halwa,MENU
Wing Sauce,MENU
Chicken Vindaloo,MENU
Spring Vegetable Dosa,MENU
Chicken Palak,MENU
Goat Masala,MENU
Palak Chicken,MENU
Poori Bread,MENU
Yogurt Rice,MENU
Watermelon,MENU
Fruit Pudding,MENU
Mango Dahl,MENU
Nihari,MENU
Halim,MENU
Paya,MENU
Rasgulla,MENU
Rasmalai,MENU
Halwa Puri,MENU
Chicken Seekh Kabab,MENU
Keema Naan,MENU
Paneer Korma,MENU
Beef Samosas,MENU
Lamb Paya,MENU
Halwa,MENU
Chanay,MENU
Veal Biryani,MENU
Halwa Poori,MENU
Sweet Lassi,MENU
Till Naan,MENU
Channay,MENU
Naano,MENU
Kulcha,MENU
Jhaag,MENU
Cholay,MENU
Tea,MENU
Halwa Puri Channa,MENU
Karachi Chicken,MENU
Dal Chana,MENU
Kheer - Puri,MENU
Puri,MENU
Nehari,MENU
Chick Pea,MENU
Yogurt,MENU
Nihari Gravy Curry,MENU
Chicken Jalfraizi,MENU
Grilled Vegetables,MENU
Pastry,MENU
Brobowl,MENU
Bombay Fish,MENU
Naan Roll,MENU
Frankie Rolls,MENU
Sandwich,MENU
Bro Bowl,MENU
Bhel Puri,MENU
Butter Chicken Poutine,MENU
French Fries,MENU
Delhi Kebab,MENU
Scorpion Sauce,MENU
Garlic Bread,MENU
Toasted Bread,MENU
Bo Bay Fish,MENU
Chickpea Masala,MENU
Naana Bread,MENU
Spinach Paneer Wrap,MENU
Mixed Vegetables,MENU
Potatoe Bowls,MENU
Burrito,MENU
Chili Chicken Bro,MENU
Chili Sauce,MENU
Plain Chicken,MENU
Chana Chaat,MENU
Bro Bowls,MENU
Channa Samosa,MENU
